timestamp target_q_0 target_qd_0 target_qdd_0
2.2868571 0.4212493874908192 1.04 0.0 
2.294857 0.4295693874908193 1.04 0.0 
2.3028572 0.4378893874908192 1.04 0.0 
2.310857 0.4462093874908193 1.04 0.0 
2.3188572 0.4545293874908194 1.04 0.0 
2.326857 0.4628493874908193 1.04 0.0 
2.3348572 0.4711693874908194 1.04 0.0 
2.3428571 0.47948938749081926 1.04 0.0 
2.3508573 0.48780938749081937 1.04 0.0 
2.3588572 0.49612938749081925 1.04 0.0 
2.366857 0.5044493874908194 1.04 0.0 
2.3748572 0.5127693874908195 1.04 0.0 
2.382857 0.5210893874908193 1.04 0.0 
2.3908572 0.5294093874908194 1.04 0.0 
2.398857 0.5377293874908193 1.04 0.0 
2.4068573 0.5460493874908194 1.04 0.0 
2.4148571 0.5543693874908193 1.04 0.0 
2.422857 0.5626893874908194 1.04 0.0 
2.4308572 0.5710093874908193 1.04 0.0 
2.438857 0.5793293874908194 1.04 0.0 
2.4468572 0.5876493874908195 1.04 0.0 
2.454857 0.5959693874908194 1.04 0.0 
2.4628572 0.6042893874908195 1.04 0.0 
2.4708571 0.6126093874908194 1.04 0.0 
2.478857 0.6209293874908195 1.04 0.0 
2.4868572 0.6292493874908194 1.04 0.0 
2.494857 0.6375693874908195 1.04 0.0 
2.5028572 0.6458893874908194 1.04 0.0 
2.510857 0.6542093874908195 1.04 0.0 
2.5188572 0.6625293874908196 1.04 0.0 
2.5268571 0.6708493874908195 1.04 0.0 
2.534857 0.6791693874908196 1.04 0.0 
2.5428572 0.6874893874908194 1.04 0.0 
2.550857 0.6958093874908196 1.04 0.0 
2.5588572 0.7041293874908194 1.04 0.0 
2.566857 0.7124493874908195 1.04 0.0 
2.5748572 0.7207693874908196 1.04 0.0 
2.5828571 0.7290893874908195 1.04 0.0 
2.590857 0.7374093874908196 1.04 0.0 
2.5988572 0.7457293874908195 1.04 0.0 
2.606857 0.7540493874908196 1.04 0.0 
2.6148572 0.7623693874908195 1.04 0.0 
2.622857 0.7706893874908196 1.04 0.0 
2.6308572 0.7790093874908195 1.04 0.0 
2.6388571 0.7873293874908196 1.04 0.0 
2.6468573 0.7956493874908197 1.04 0.0 
2.6548572 0.8039693874908196 1.04 0.0 
2.662857 0.8122893874908197 1.04 0.0 
2.6708572 0.8206093874908198 1.04 0.0 
2.678857 0.8289293874908197 1.04 0.0 
2.6868572 0.8372493874908196 1.04 0.0 
2.6948571 0.8455693874908194 1.04 0.0 
2.7028573 0.8538893874908198 1.04 0.0 
2.7108572 0.8622093874908197 1.04 0.0 
2.718857 0.8705293874908195 1.04 0.0 
2.7268572 0.8788493874908199 1.04 0.0 
2.734857 0.8871693874908197 1.04 0.0 
2.7428572 0.8954893874908196 1.04 0.0 
2.750857 0.9038093874908195 1.04 0.0 
2.7588573 0.9121293874908198 1.04 0.0 
2.7668571 0.9204493874908197 1.04 0.0 
2.774857 0.9287693874908196 1.04 0.0 
2.7828572 0.9370893874908199 1.04 0.0 
2.790857 0.9454093874908198 1.04 0.0 
2.7988572 0.9537293874908197 1.04 0.0 
2.806857 0.9620493874908196 1.04 0.0 
2.8148572 0.9703693874908199 1.04 0.0 
2.8228571 0.9786893874908198 1.04 0.0 
2.830857 0.9870093874908197 1.04 0.0 
2.8388572 0.99532938749082 1.04 0.0 
2.846857 1.0036493874908199 1.04 0.0 
2.8548572 1.0119693874908198 1.04 0.0 
2.862857 1.0202893874908197 1.04 0.0 
2.8708572 1.02860938749082 1.04 0.0 
2.8788571 1.0369293874908199 1.04 0.0 
2.886857 1.0452493874908197 1.04 0.0 
